Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.6m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.6m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.6m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.6m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.7m	-2.4					
23.6m	-2.4					
23.7m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.7m	-2.4					
23.7m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.7m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.5m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.5m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.6m	-2.4					
23.5m	-2.4					
23.6m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.6m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.6m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.6m	-2.4					
23.5m	-2.4					
23.4m	-2.4					
23.5m	-2.4					
23.6m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.4m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.4m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.4m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.4m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.4m	-2.4					
23.5m	-2.4					
23.4m	-2.4					
23.5m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.5m	-2.4					
23.3m	-2.4					
23.5m	-2.4					
23.4m	-2.4					
23.5m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.3m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.3m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
23.3m	-2.4					
23.4m	-2.4					
23.4m	-2.4					
